factors,regularization,iterations,val_ndcg,val_recall,train_time_sec
10,0.1,30,0.08617977851328452,0.07249205368689572,0.6909239292144775
100,0.01,10,0.08590701017406338,0.08416778001834213,0.6988089084625244
10,0.1,15,0.08575462433619876,0.0730193448144335,0.4607219696044922
100,0.001,30,0.08531445160133226,0.08274259042790132,1.7511677742004395
100,0.01,30,0.08501690442869433,0.08145242915876272,1.9215097427368164
10,0.1,10,0.0849417801481546,0.07185783198675058,0.3893129825592041
100,0.001,10,0.0849324637522694,0.0829415038149107,0.7378661632537842
100,0.01,15,0.0848692203126068,0.08197749403704979,0.9738130569458008
100,0.001,15,0.0847052078908675,0.08219526321429574,0.9555327892303467
10,0.01,30,0.08464843388868001,0.07197036407989045,0.6800699234008789
10,0.01,10,0.08450033728168632,0.07291909319027852,0.3804008960723877
100,0.1,15,0.08438755580874263,0.08172699197696157,1.0974891185760498
10,0.001,15,0.08428138994093987,0.07220102976668659,0.45470118522644043
100,0.1,10,0.08413241189846993,0.0820376279213627,0.7877631187438965
10,0.001,30,0.08408337569269021,0.07182048667362051,0.6776111125946045
10,0.001,10,0.0839766554368299,0.07205689252311531,3.016347885131836
10,0.01,15,0.08395384474972893,0.07258795083803286,0.45865821838378906
50,0.001,10,0.08391920815481013,0.08138434166010933,0.5040860176086426
40,0.01,10,0.08364648409367169,0.08089766288516703,0.5092778205871582
40,0.01,15,0.08356958721874308,0.08010889470431841,0.7110018730163574
50,0.01,10,0.08333188990218077,0.08167579313361097,0.5375409126281738
40,0.001,15,0.0833165644840841,0.07975320511138313,0.6442971229553223
50,0.1,10,0.0831948645251924,0.08027929713977476,0.5111470222473145
40,0.001,30,0.08318451349994062,0.08023545151500916,1.1669259071350098
20,0.001,15,0.08303371383605436,0.07761334100552966,0.4774200916290283
100,0.1,30,0.08301154663281142,0.08037483627155967,1.8113439083099365
50,0.01,15,0.08294502369065707,0.08170625781553822,0.6688261032104492
20,0.001,10,0.08285372411266397,0.076853628097713,0.4004499912261963
40,0.001,10,0.08282820166710317,0.07944354593383463,0.4985830783843994
50,0.001,15,0.08281029629227075,0.08205174849170838,0.6937530040740967
20,0.001,30,0.08279188849785492,0.0777196022413393,0.7449789047241211
20,0.01,30,0.08266066089131673,0.07676439171267868,0.7834250926971436
20,0.1,10,0.08256888072674258,0.07562192741424476,0.3986780643463135
20,0.01,10,0.08251583065889422,0.07641468770619966,0.39791107177734375
20,0.1,15,0.08246073458536628,0.07629002861019996,0.4786529541015625
40,0.1,30,0.08244747794579312,0.08018208442519703,1.0262329578399658
20,0.01,15,0.08240986683327003,0.0767147317462522,0.5251121520996094
40,0.1,10,0.08239427355105024,0.07922349329113279,0.5206272602081299
20,0.1,30,0.08233255756487114,0.07674350178113734,0.742499828338623
50,0.1,15,0.0822164955576879,0.08013344491890168,0.670856237411499
50,0.1,30,0.08218791102333853,0.07934201219351351,1.1048359870910645
50,0.001,30,0.08216164441488126,0.08038192693104508,1.1297647953033447
40,0.01,30,0.08209115214494105,0.0795657284539496,1.0417869091033936
40,0.1,15,0.08207150179349268,0.07943996278677708,0.6423962116241455
50,0.01,30,0.08187147007871177,0.07969859193590392,1.0879297256469727
30,0.1,30,0.08163619965466348,0.07665238377537617,0.8605921268463135
30,0.01,15,0.08151194009248425,0.07727422094898706,0.5408620834350586
30,0.001,30,0.08143053331045152,0.07875269795696284,0.8112802505493164
30,0.01,30,0.08139045250376335,0.07724225205676656,0.8388137817382812
30,0.001,15,0.08135361319419626,0.07929273274741443,0.5142951011657715
30,0.1,10,0.08110143245107602,0.07842198931356564,0.4288489818572998
30,0.001,10,0.08109673723693125,0.07911988871305203,0.4608638286590576
30,0.1,15,0.08109036711869613,0.07786530514376225,0.5179541110992432
30,0.01,10,0.07949800816896513,0.07682011965225959,0.4713561534881592
