n_factors,n_epochs,lr_all,reg_all,val_ndcg,val_recall,train_time_sec
10,20,0.01,0.01,0.03969399778155991,0.02385220873858224,0.6056287288665771
20,20,0.01,0.01,0.03911773472677026,0.023314109691702792,0.9048242568969727
10,100,0.001,0.01,0.03876762949087112,0.02206116603372984,1.5779380798339844
10,20,0.005,0.01,0.038011397912619864,0.02162375581623589,0.6273672580718994
10,20,0.01,0.02,0.03799740570607159,0.022548011886351093,0.6187682151794434
10,50,0.005,0.01,0.03721950934653591,0.02287202318460318,0.9750761985778809
10,50,0.005,0.02,0.036034288246451746,0.02200183107048175,0.9706931114196777
20,20,0.01,0.02,0.03576526234847351,0.020705417652263396,0.8932950496673584
50,20,0.01,0.01,0.035180587726898575,0.02088936466206475,1.7958106994628906
50,50,0.005,0.01,0.03461485740988754,0.02187309214395751,3.924673080444336
20,100,0.001,0.01,0.034524794894997705,0.018789136982876257,3.020805835723877
20,50,0.005,0.01,0.03420151696186034,0.022240944327400113,1.6903722286224365
10,50,0.005,0.05,0.03381876572597597,0.02005301547945603,0.9827749729156494
20,20,0.005,0.01,0.03362832237787028,0.01817402601305099,0.8955409526824951
20,50,0.005,0.02,0.033150214539105625,0.0206974066297108,1.7710199356079102
10,100,0.001,0.02,0.03250000564916927,0.01839464302608622,1.5753657817840576
10,20,0.01,0.05,0.03221297355781733,0.018852718811512063,0.6352767944335938
10,20,0.005,0.02,0.031969017541213084,0.01818001672052772,0.6095089912414551
50,50,0.005,0.02,0.02956981546994783,0.018516007303144476,3.758697986602783
10,50,0.01,0.05,0.029215915619613075,0.018378315670888355,0.994157075881958
10,100,0.005,0.05,0.02879359715612405,0.018222797679501693,1.5859458446502686
50,20,0.01,0.02,0.02835586662125641,0.01741832531481821,1.792125940322876
20,50,0.005,0.05,0.027634907944645695,0.016085191352351876,1.6951076984405518
20,20,0.01,0.05,0.027613707390718376,0.015695381318561293,0.9129469394683838
20,100,0.001,0.02,0.02610222773742135,0.01425736183925095,2.973836898803711
10,100,0.001,0.05,0.025289515433370234,0.014776167228090772,1.6024670600891113
10,20,0.005,0.05,0.025214286101168614,0.014712995514853087,0.6292269229888916
20,20,0.005,0.02,0.025192165369753463,0.013692569464590007,0.9079890251159668
100,50,0.005,0.01,0.025179335106723565,0.012071660465544969,7.56988787651062
10,50,0.01,0.02,0.024413307330913226,0.015666066154515764,0.9975430965423584
10,100,0.005,0.02,0.023966023380983168,0.015188358062906726,1.6072430610656738
10,100,0.005,0.01,0.023780065005929264,0.014588987380153243,1.5972306728363037
50,100,0.001,0.01,0.02337314052368851,0.012325592761759556,6.813135862350464
10,50,0.01,0.01,0.02294486357962246,0.013800182526708024,0.9908092021942139
100,20,0.01,0.01,0.02264704812962997,0.00995174770301046,3.311086893081665
20,100,0.005,0.05,0.022116307006761017,0.013794247874629344,2.988226890563965
50,20,0.005,0.01,0.022087624073160856,0.011702046279320446,1.854802131652832
20,50,0.01,0.05,0.02206050196910517,0.013812918627902147,1.6832737922668457
10,50,0.001,0.01,0.02110086574550757,0.013067525707216273,0.9835309982299805
50,100,0.005,0.01,0.020771112587622605,0.013652036596753212,6.801509141921997
50,50,0.01,0.01,0.020371060331736936,0.01394038177533432,3.660067081451416
10,100,0.01,0.05,0.02014195185694378,0.013441420777707653,1.5950028896331787
10,50,0.001,0.02,0.019925021235116303,0.012473510416527537,1.004528284072876
50,50,0.01,0.02,0.01964683730657753,0.013338225090945378,3.74137806892395
10,50,0.001,0.05,0.018876422797516702,0.011849323225919,0.9727530479431152
100,50,0.01,0.01,0.018799109191444584,0.01123271421200312,7.6559717655181885
100,100,0.005,0.01,0.018739894353608764,0.011495772790333389,14.05257797241211
50,100,0.005,0.02,0.018351079916459755,0.012191829646818414,6.777653932571411
10,20,0.001,0.01,0.018149365667336954,0.013270324917022873,1.5741407871246338
20,50,0.01,0.01,0.017839210764214915,0.012719241992058336,1.7098979949951172
20,100,0.005,0.01,0.017762611188016572,0.013152922367434915,2.966862916946411
10,20,0.001,0.02,0.017714907460876807,0.012764432192108504,0.636113166809082
10,20,0.001,0.05,0.017606319890424372,0.012535624405014852,0.6277151107788086
20,100,0.005,0.02,0.017350769567939815,0.0119016654647401,3.0466198921203613
100,50,0.005,0.02,0.017240817244351666,0.007695814090289966,7.686483860015869
20,100,0.001,0.05,0.01677840442050989,0.00999029964810952,3.0373871326446533
20,20,0.005,0.05,0.01676035561400337,0.009969004968135508,0.9111957550048828
100,100,0.005,0.02,0.016642170825424057,0.010392356287911924,14.210760831832886
20,50,0.001,0.01,0.016620473369085426,0.011861858905259294,1.6659808158874512
20,50,0.01,0.02,0.016090748044218287,0.0111256555506494,1.8086600303649902
50,100,0.005,0.05,0.015674615150987267,0.01178659196202886,6.78935694694519
50,100,0.001,0.02,0.015649770083052683,0.008398240946273745,6.79711389541626
50,50,0.005,0.05,0.015167214131368303,0.00952446638523305,3.7371151447296143
50,20,0.005,0.02,0.0151361062137208,0.008187600035932175,1.8354520797729492
20,50,0.001,0.02,0.014967075347199352,0.009925348068466644,1.6965320110321045
100,50,0.01,0.02,0.014548813645126628,0.008745367903384262,7.8739283084869385
20,100,0.01,0.05,0.014481828505397877,0.009710568071898459,2.9688220024108887
10,100,0.01,0.02,0.014414567936373919,0.008789915281903765,1.574498176574707
50,50,0.01,0.05,0.014397158102467476,0.010639595933716325,3.679210901260376
20,20,0.001,0.01,0.013392156004171794,0.008290191343394373,0.8974757194519043
20,50,0.001,0.05,0.013070920989414406,0.007865152608446608,1.7289328575134277
20,20,0.001,0.02,0.012719317198418876,0.007430488091698034,0.9089109897613525
10,100,0.01,0.01,0.012681562816374335,0.007625721379337016,1.6237461566925049
50,20,0.01,0.05,0.012617603344028347,0.008032330454896932,1.7880640029907227
100,100,0.01,0.01,0.012599069593081769,0.007672759523196126,14.05421495437622
100,20,0.01,0.02,0.012408945656002153,0.004638808234114853,3.4285030364990234
20,20,0.001,0.05,0.011764900310776623,0.006172040002764921,0.9157052040100098
50,100,0.01,0.02,0.011357343756122289,0.008128672641086526,6.632884979248047
50,100,0.01,0.01,0.010973209239266904,0.006928895980497678,6.778396844863892
100,100,0.01,0.02,0.01073488785845392,0.007034630731973261,14.086192846298218
50,100,0.01,0.05,0.009688744232358075,0.007446608725325824,6.749768018722534
20,100,0.01,0.02,0.009389259254599425,0.006827709110529353,2.9701738357543945
20,100,0.01,0.01,0.008843014576268182,0.006182132510481878,3.047064781188965
50,100,0.001,0.05,0.007990585176393688,0.004606657961707599,6.72837495803833
50,20,0.005,0.05,0.007828160054806377,0.004567788925748813,1.9584262371063232
50,20,0.001,0.01,0.007243587237804073,0.008325688114831217,1.8269708156585693
100,100,0.001,0.01,0.0068828895673155865,0.0020385956118161006,14.49376893043518
50,20,0.001,0.02,0.006214436701679928,0.0064870857254985224,2.000253915786743
100,20,0.005,0.01,0.006110507210162024,0.0018228361856190884,3.3347301483154297
100,100,0.005,0.05,0.0054116165208591685,0.0036399691398252307,14.066866159439087
100,50,0.01,0.05,0.005167032008806467,0.003507688974592361,7.753394842147827
100,100,0.01,0.05,0.005038584070073362,0.004407426891145075,14.213999032974243
50,50,0.001,0.05,0.004972529498859891,0.004103400353947403,3.68687105178833
50,50,0.001,0.02,0.004908327567946194,0.005033635646849798,3.7855207920074463
