n_factors,layer_sizes,n_epochs,learning_rate,val_ndcg,val_recall,train_time_sec
16,"[32, 16, 8]",10,0.001,0.1009531852661003,0.08404700040848867,282.5607976913452
8,"[16, 8, 4]",25,0.005,0.10044719461658703,0.08246729317007152,695.0034816265106
8,"[32, 16, 8]",10,0.005,0.09932682229309572,0.08229398441059196,282.1612939834595
8,"[16, 8, 4]",10,0.001,0.09833979908436119,0.0802747660786928,277.7506642341614
16,"[16, 8, 4]",10,0.001,0.09827031611275029,0.08029905663065935,283.0896899700165
8,"[16, 8, 4]",10,0.005,0.0981635810866694,0.0809611118254428,281.1977074146271
32,"[32, 16, 8]",10,0.001,0.09721635151315687,0.08252176948369569,280.32461380958557
16,"[16, 8, 4]",25,0.001,0.09712571429826031,0.08338286857224148,701.5454847812653
16,"[32, 16, 8]",25,0.001,0.09698825625685564,0.08415997608664781,699.9551823139191
8,"[16, 8, 4]",25,0.001,0.09693173025223939,0.07611549136746766,695.868399143219
8,"[32, 16, 8]",25,0.005,0.09613919878252575,0.08017968897939114,699.6471982002258
8,"[32, 16, 8]",10,0.001,0.09579369057562329,0.07811630579214168,279.6632595062256
32,"[16, 8, 4]",10,0.001,0.09462988320464498,0.08432729704143731,281.0343804359436
16,"[16, 8, 4]",10,0.005,0.09412313591388503,0.07993749697672038,283.0842833518982
8,"[32, 16, 8]",25,0.001,0.09410418002301221,0.07355285058134543,698.0960366725922
16,"[32, 16, 8]",25,0.005,0.09239762349823932,0.07845288564526437,701.1666388511658
16,"[16, 8, 4]",25,0.005,0.09163324717556379,0.0745779343994237,705.8764019012451
16,"[32, 16, 8]",10,0.005,0.09095316823815923,0.07900855378169234,283.6410901546478
32,"[32, 16, 8]",25,0.001,0.09036652665768458,0.07602506547295829,696.040120601654
32,"[16, 8, 4]",25,0.001,0.0902565457903736,0.08203636727666963,695.4533457756042
32,"[16, 8, 4]",25,0.005,0.08872090675603717,0.07801313984934062,697.6920702457428
32,"[32, 16, 8]",10,0.005,0.0886896143754565,0.07348997990661943,282.6122930049896
32,"[16, 8, 4]",10,0.005,0.08825746490636521,0.0750388139463676,281.6853370666504
32,"[32, 16, 8]",25,0.005,0.08559791643319792,0.07576444590849515,697.3044946193695
